Trade_Date,RESOURCE_NAME,Delivery_Date,PQ,DELIVERY_TIME,EA MSQ,MSQ,RCUC MSQ,PN,MG,QD,Imbalance
03/01/2017,GU_400530,03/01/2017,50,06:00,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,06:30,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,07:00,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,07:30,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,08:00,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,08:30,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,09:00,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,09:30,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,10:00,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,10:30,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,11:00,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,11:30,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,12:00,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,12:30,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,13:00,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,13:30,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,14:00,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,14:30,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,15:00,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,15:30,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,16:00,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,16:30,0,0,0,0,0,0,0
03/01/2017,GU_400530,03/01/2017,50,17:00,0,0,0,0,0,0,0
